#enska	islenska	flokkur	id
monsters	Skrímsli	Tröll og forynjur	32
bones	Mannabein	Draugar og afturgöngur	1000145
prayers	Bænir	Kirkja og kristni	33
oaths and dedications	Heit og áheit	Kirkja og kristni	1000159
exaggerations	Ýkjusögur	Kveðskapur og sagnalist	1000117
islands	Eyjar	Staðir og örnefni	1000233
Weddings	Brúðkaup	Ævi og fjölskylda	426
hunting	Veiðar	Atvinna og verkmenning	1000170
round-ups (sheep gathering)	Göngur og réttir	Búskapur og sveitastörf	1000195
upbringing	Uppeldi	Ævi og fjölskylda	1000235
courting	Tilhugalíf	Ævi og fjölskylda	1000272
beaches	Fjörur	Staðir og örnefni	1000116
Suicide	Sjálfsvíg	Ævi og fjölskylda	412
strange fish	Furðufiskar	Sjósókn og sjávarfang	1000101
villur	villur	Þjóðtrú og fyrirboðar	139
sea beings	Sjávarvættir	Tröll og forynjur	1000396
foreigners	Útlendingar	Fólk og mannlýsingar	1000174
Elven love	Álfaástir	Huldufólk	418
plants	Plöntur	Náttúra og dýr	1000294
natural disasters	Náttúruhamfarir	Náttúra og dýr	1000140
warnings and advice	Viðvaranir og heilræði	Þjóðtrú og fyrirboðar	1000119
shepherds	Smalar	Búskapur og sveitastörf	1000042
disputes	Deilur	Samfélag og stjórnsýsla	1000709
elven farming ways	Búskaparhættir álfa	Huldufólk	1000220
domestic animals of the elves	Búfé álfa	Huldufólk	1000183
weather forecast	Veðurspár	Þjóðtrú og fyrirboðar	1000092
poverty	Fátækt	Samfélag og stjórnsýsla	1000442
sayings	Málshættir	Kveðskapur og sagnalist	1000222
half-wits	Einfeldningar	Fólk og mannlýsingar	1000104
archaeological remains	Fornleifar	Staðir og örnefni	1000267
Midwives to the fairies	Ljósmæður álfa	Huldufólk	411
new year's night	Nýársnótt	Hátíðir og tímatal	1000102
exposed children	Útburðir	Draugar og afturgöngur	1000097
riches	Auðlegð	Samfélag og stjórnsýsla	1000608
housing equipment	Húsbúnaður	Heimili og daglegt líf	1000048
Holy men	Helgir menn	Kirkja og kristni	409
signs of the cross	Krossmörk	Kirkja og kristni	1000197
barnastörf	Barnastörf	Atvinna og verkmenning	1000082
games	Leikir	Leikir og skemmtun	1000015
elven illusion	Sjónhverfingar álfa	Huldufólk	1000301
elven rewards	Álfalaun	Huldufólk	1000127
attending mass	Kirkjuferðir	Kirkja og kristni	1000052
Skrímsli og furðudýr	Skrímsli og furðudýr	Tröll og forynjur	1000231
seal-hunting	Selveiðar	Sjósókn og sjávarfang	1000282
wrestling	Glíma	Leikir og skemmtun	1000229
summoning up	Uppvakningar	Galdur og kraftaskáld	1000046
Storytellers	Sagnamenn	Kveðskapur og sagnalist	405
singings	Söngur	Kveðskapur og sagnalist	1000037
brewing	Ölgerð	Heimili og daglegt líf	1000176
Eiríkur of Vogsósar	Eiríkur í Vogsósum	Galdur og kraftaskáld	105
cooperation	Samvinna	Samfélag og stjórnsýsla	4
fishing stations	Verstöðvar	Sjósókn og sjávarfang	1000254
God	Guð	Kirkja og kristni	165
teaching	Kennsla	Samfélag og stjórnsýsla	1000141
snow and ice	Snjór og ís	Náttúra og dýr	188
ungenerosity	Nánasarskapur	Fólk og mannlýsingar	1000261
beach creeps (fjörulallar)	Fjörulallar	Tröll og forynjur	1000149
Matreiðsla	Matreiðsla	Heimili og daglegt líf	1000049
midwives	Ljósmæður	Ævi og fjölskylda	1000026
shallow graves	Dysjar	Draugar og afturgöngur	41
sea ghosts	Sjódraugar	Draugar og afturgöngur	1000169
male work	Karlastörf	Atvinna og verkmenning	1000091
vagrants	Flakkarar	Fólk og mannlýsingar	1000365
people on the parish	Niðursetningar	Samfélag og stjórnsýsla	1000194
roads	Vegir	Atvinna og verkmenning	1000208
Ghosts/ revenants	Afturgöngur	Draugar og afturgöngur	63
pregnancy	Meðganga	Ævi og fjölskylda	149
coffins	Líkkistur	Kirkja og kristni	1000223
postmen (in the countryside)	Póstar	Atvinna og verkmenning	1000069
Danes	Danir	Fólk og mannlýsingar	1000202
power-poets	Kraftaskáld	Galdur og kraftaskáld	1000344
the moon	Tunglið	Náttúra og dýr	163
washed up whales	Hvalrekar	Sjósókn og sjávarfang	1000190
politics	Stjórnmál	Samfélag og stjórnsýsla	1000124
settlement	Landnám	Staðir og örnefni	1000146
elven gatherings	Álfasamkomur	Huldufólk	1000199
Sleep	Svefn	Heimili og daglegt líf	1000944
fox and mink hunting	Refa- og minkaveiðar	Atvinna og verkmenning	1000193
light	Ljós	Heimili og daglegt líf	17
elves on the move	Álfaflutningar	Huldufólk	1000103
churchbells	Kirkjuklukkur	Kirkja og kristni	1000213
the Shepherds‘ Ride (Icelandic custom)	Hjásetureið	Búskapur og sveitastörf	182
Atvinnuhættir	Atvinnuhættir	Atvinna og verkmenning	1000045
belief in spirits	Andatrú	Þjóðtrú og fyrirboðar	1000256
emigrants to America	Vesturfarar	Samfélag og stjórnsýsla	1000012
assistance	Hjálp og liðsinni	Samfélag og stjórnsýsla	191
lighting	Lýsing	Heimili og daglegt líf	1000230
Christenings	Skírnir	Kirkja og kristni	413
swindles and cheating	Svik og prettir	Samfélag og stjórnsýsla	184
elves in need of aid	Nauðleit álfa	Huldufólk	2
evening readings	Kvöldvökur	Heimili og daglegt líf	1000056
hymns	Sálmar	Kirkja og kristni	19
Frenchmen	Frakkar	Fólk og mannlýsingar	1000251
outlaws beliefs	Útilegumannatrú	Þjóðtrú og fyrirboðar	1000068
Corpses washed ashore	Rekin lík	Sjósókn og sjávarfang	1000177
Christ	Kristur	Kirkja og kristni	53
amusements	Skemmtanir	Leikir og skemmtun	1000236
performers of poetry	Kvæðamenn	Kveðskapur og sagnalist	1000096
sports	Íþróttir	Leikir og skemmtun	1000120
avalanches	Snjóflóð	Náttúra og dýr	1000486
changelings	Umskiptingar	Huldufólk	1000211
sacred sites (völvuleiði)	Völvuleiði	Þjóðtrú og fyrirboðar	1000112
rogue whales	Illhveli	Tröll og forynjur	1000290
teasing	Stríðni	Leikir og skemmtun	186
schoolboys	Skólapiltar	Samfélag og stjórnsýsla	155
Reykjavík	Reykjavík	Staðir og örnefni	1000215
washing of clothes	Þvottar	Heimili og daglegt líf	5
twilight and darkness	Rökkur og myrkur	Heimili og daglegt líf	177
bird-hunting	Fuglaveiðar	Atvinna og verkmenning	1000216
shielings	Sel og selstöður	Búskapur og sveitastörf	1000359
Bears	Bjarndýr	Náttúra og dýr	71
waterfalls	Fossar	Staðir og örnefni	1000264
parties	Samkvæmi	Leikir og skemmtun	1000054
Englishman	Englendingar	Fólk og mannlýsingar	1000181
children	Börn	Ævi og fjölskylda	18
God's protection	Guðs vernd	Kirkja og kristni	1000252
Þorgeirsboli	Þorgeirsboli	Draugar og afturgöngur	166
singing at mass	Messusöngur	Kirkja og kristni	1000182
miraculous signs	Jarteikn	Kirkja og kristni	3
charms and summoning up	Særingar og uppvakningar	Galdur og kraftaskáld	1000343
aerial phenomenon	Loftsýnir	Þjóðtrú og fyrirboðar	1000259
Alcohol	Áfengi	Heimili og daglegt líf	1000610
easters	Páskar	Hátíðir og tímatal	1000291
christmas Lads	Jólasveinar	Hátíðir og tímatal	1000126
oath or promise	Eiðar og loforð	Samfélag og stjórnsýsla	1000063
belief in fate	Forlagatrú	Þjóðtrú og fyrirboðar	1000205
dance	Dans	Leikir og skemmtun	1000053
witches' familiars (tilberar)	Tilberar	Galdur og kraftaskáld	1000265
Revenges	Hefndir	Samfélag og stjórnsýsla	183
Dream-men	Draummenn	Þjóðtrú og fyrirboðar	1000144
spirit warmth	Draugahiti	Draugar og afturgöngur	1000310
Nauðleit álfa	Nauðleit álfa	Huldufólk	1000138
whale-hunting	Hvalveiðar	Sjósókn og sjávarfang	1000089
sea cows	Sækýr	Tröll og forynjur	1000162
firewood	Eldiviður	Heimili og daglegt líf	1000088
Fish processing	Fiskverkun	Sjósókn og sjávarfang	1000044
language	Tungumál	Kveðskapur og sagnalist	1000066
violence	Ofbeldi	Samfélag og stjórnsýsla	16
Bear hunting	Bjarndýraveiðar	Atvinna og verkmenning	402
supernatural attacks	Ásóknir vætta	Þjóðtrú og fyrirboðar	69
fire	Eldur	Heimili og daglegt líf	14
the “ash hardship” years (following the Laki eruptions 1783-1785)	Móðuharðindin	Samfélag og stjórnsýsla	1000393
demons	Illir andar	Kirkja og kristni	54
glaciers	Jöklar	Staðir og örnefni	1000317
wishes	Óskir	Þjóðtrú og fyrirboðar	1000283
cliff-hanging	Bjargsig	Atvinna og verkmenning	1000255
occupation (military)	Hernámið	Samfélag og stjórnsýsla	1000201
madness inducing	Brjálsemi	Galdur og kraftaskáld	150
boundary marks	Landamerki	Staðir og örnefni	1000198
Icelandic Parliament	Alþingi	Samfélag og stjórnsýsla	1000247
gatherings	Samkomur	Leikir og skemmtun	1000050
board games and chess	Töfl og skák	Leikir og skemmtun	1000105
rune carving	Rúnaristur	Galdur og kraftaskáld	1000354
Norwegians	Norðmenn	Fólk og mannlýsingar	1000172
Accidents at sea	Sjóslys	Sjósókn og sjávarfang	1000549
Algerian (called Turkish) raids	Tyrkjaránið	Samfélag og stjórnsýsla	1000158
incest	Sifjaspell	Ævi og fjölskylda	1000304
Car ghosts	Bíladraugar	Draugar og afturgöngur	403
animals	Dýr	Náttúra og dýr	1000866
gold and treasures	Gull og gersemar	Þjóðtrú og fyrirboðar	75
wool work	Ullarvinna	Atvinna og verkmenning	1000085
Trúarhættir	Trúarhættir	Kirkja og kristni	1000206
Hluthvörf	Hluthvörf	Þjóðtrú og fyrirboðar	1000130
sacrificial ceremonies	Blót	Þjóðtrú og fyrirboðar	1000318
Mass	Messur	Kirkja og kristni	90
Copenhagen	Kaupmannahöfn	Staðir og örnefni	1000249
pornography	Klám	Kveðskapur og sagnalist	1000284
stories read aloud	Sögulestur	Kveðskapur og sagnalist	1000019
death of livestock	Fellir búfjár	Búskapur og sveitastörf	180
Pentecost (White sunday)	Hvítasunna	Hátíðir og tímatal	1000348
Black Death	Svarti dauði	Samfélag og stjórnsýsla	46
Myrkfælni	Myrkfælni	Þjóðtrú og fyrirboðar	1000505
Punishments	Refsingar	Samfélag og stjórnsýsla	103
Hrakningar	Hrakningar	Ævi og fjölskylda	1000721
tents	Tjöld	Heimili og daglegt líf	193
Grýla	Grýla	Tröll og forynjur	1000032
protection	Varnir	Þjóðtrú og fyrirboðar	175
Dutchmen	Hollendingar	Fólk og mannlýsingar	1000250
temples	Hof	Þjóðtrú og fyrirboðar	1000268
ship ghosts	Skipsdraugar	Draugar og afturgöngur	1000224
confirmations	Fermingar	Kirkja og kristni	1000238
cliffs, rocks	Klettar og hamrar	Staðir og örnefni	97
volcanic eruptions	Eldgos	Náttúra og dýr	1000485
Homes of elves	Álfabústaðir	Huldufólk	110
Heaven	Himnaríki	Kirkja og kristni	55
Rewards	Umbun	Samfélag og stjórnsýsla	37
wakes	Erfidrykkjur	Ævi og fjölskylda	1000408
angels	Englar	Kirkja og kristni	1000372
dwarves	Dvergar	Tröll og forynjur	1000155
folklore	Þjóðfræði	Kveðskapur og sagnalist	1000106
rímur verses	Rímur	Kveðskapur og sagnalist	36
St John's Eve	Jónsmessa	Hátíðir og tímatal	1000332
þorri (Icelandic month)	Þorri	Hátíðir og tímatal	1000240
criminals	Sakamenn	Samfélag og stjórnsýsla	50
festivals	Hátíðir	Hátíðir og tímatal	1000239
witch-rides	Gandreiðar	Galdur og kraftaskáld	27
disappearing objects	Hvarf hluta	Þjóðtrú og fyrirboðar	134
egg-collecting	Eggjataka	Atvinna og verkmenning	1000299
First Day of Summer	Sumardagurinn fyrsti	Hátíðir og tímatal	1000217
anxiety and fear	Ótti og kvíði	Fólk og mannlýsingar	194
story-spirits	Sagnaandar	Þjóðtrú og fyrirboðar	1000374
technology	Tækni	Atvinna og verkmenning	1000246
mythology	Goðafræði	Þjóðtrú og fyrirboðar	1000400
impersonator	Eftirhermur	Leikir og skemmtun	1000065
summoning of beings (stefnur)	Stefnur	Galdur og kraftaskáld	1000382
corpse-calls (warning of forthcoming death)	Feigðarboð	Þjóðtrú og fyrirboðar	1000234
sea-men	Sjómenn	Sjósókn og sjávarfang	108
Sacramental wine	Messuvín	Kirkja og kristni	48
St Þorlákur's Mass	Þorláksmessa	Hátíðir og tímatal	1000337
poetic contests	Kveðast á	Kveðskapur og sagnalist	1000086
Sauðasala	Sauðasala	Búskapur og sveitastörf	1000163
crops	Uppskera	Búskapur og sveitastörf	1000245
companies	Félög	Samfélag og stjórnsýsla	1000148
clairvoyants	Skyggnir menn	Þjóðtrú og fyrirboðar	1000287
calendars	Tímatal	Hátíðir og tímatal	1000262
cannibalism	Mannát	Tröll og forynjur	195
sands	Sandar	Staðir og örnefni	1000142
Blood	Blóð	Þjóðtrú og fyrirboðar	111
Visions	Sýnir	Þjóðtrú og fyrirboðar	107
Ghosts: momentary visions / apparitions	Svipir	Draugar og afturgöngur	81
dance gatherings	Dansleikir	Leikir og skemmtun	1000151
Mannlýsingar	Mannlýsingar	Fólk og mannlýsingar	1000606
ghostly smells	Draugalykt	Draugar og afturgöngur	1000168
elven assistance	Liðsinni álfa	Huldufólk	15
Ástleitni	Ástleitni	Ævi og fjölskylda	1000604
musical instruments	Hljóðfæri	Kveðskapur og sagnalist	1000279
singers	Söngvarar	Kveðskapur og sagnalist	1000186
Danger at sea	Háski á sjó	Sjósókn og sjávarfang	1000435
traders	Kaupmenn	Atvinna og verkmenning	1000926
Driftwood	Rekaviður	Sjósókn og sjávarfang	64
Sheep	Sauðfé	Búskapur og sveitastörf	1000823
rigmarole	Þulur	Kveðskapur og sagnalist	43
mirrors	Speglar	Þjóðtrú og fyrirboðar	148
verses	Vísur	Kveðskapur og sagnalist	164
Female elves	Álfkonur	Huldufólk	128
cairns	Vörður	Staðir og örnefni	196
grasatekja	grasatekja	Búskapur og sveitastörf	57
Spirits	Andar	Draugar og afturgöngur	169
music	Tónlist	Kveðskapur og sagnalist	1000204
Twelfth Night	Þrettándinn	Hátíðir og tímatal	1000331
wonder tale	Ævintýri	Kveðskapur og sagnalist	1000160
sacredness	Heilagleiki	Kirkja og kristni	1000312
Góa (old calendar month between late March and late April)	Góa	Hátíðir og tímatal	1000241
Fjárkláðinn	Fjárkláðinn	Búskapur og sveitastörf	1000571
lighting fuel	Ljósmeti	Heimili og daglegt líf	98
corpse	Lík	Draugar og afturgöngur	113
Germans	Þjóðverjar	Fólk og mannlýsingar	1000209
Sveitablöð	Sveitablöð	Samfélag og stjórnsýsla	1000212
psalm singing	Sálmasöngur	Kirkja og kristni	1000886
battles	Bardagar	Samfélag og stjórnsýsla	58
drama	Leiklist	Leikir og skemmtun	1000078
Offerings, sacrifices	Fórnir	Þjóðtrú og fyrirboðar	1000375
soul travel	Sálarflakk	Þjóðtrú og fyrirboðar	1000384
nature	Náttúra	Náttúra og dýr	1000868
childbirth	Barnsburður	Ævi og fjölskylda	67
Þerriblettir	Þerriblettir	Búskapur og sveitastörf	1000200
workers (female)	Vinnukonur	Atvinna og verkmenning	1000815
Wells	Brunnar	Staðir og örnefni	1000770
King's visit	Konungskoma	Samfélag og stjórnsýsla	1000363
Abbey (monasteries)	Klaustur	Kirkja og kristni	1000266
Skipströnd	Skipströnd	Sjósókn og sjávarfang	1000609
Native Americans/Canadians	Frumbyggjar Ameríku	Fólk og mannlýsingar	1000935
husband of Grýla	Leppalúði	Tröll og forynjur	1000150
cars	Bílar	Atvinna og verkmenning	1000399
crouchmass	Krossmessa	Hátíðir og tímatal	1000335
Fjalla-Eyvindur	Fjalla-Eyvindur	Fólk og mannlýsingar	190
workers (male)	Vinnumenn	Atvinna og verkmenning	1000795
nightmares	Martraðir	Þjóðtrú og fyrirboðar	83
music (instrument playing)	Hljóðfæraleikur	Kveðskapur og sagnalist	1000051
Tobacco	Tóbak	Heimili og daglegt líf	1000847
Faroese	Færeyingar	Fólk og mannlýsingar	1000303
Beitarhús	Beitarhús	Búskapur og sveitastörf	1000712
sleep-walking	Svefnganga	Þjóðtrú og fyrirboðar	82
Svarti dauði	Svarti dauði	Samfélag og stjórnsýsla	1000221
organs	Orgel	Kirkja og kristni	1000001
instrumentalists	Hljóðfæraleikarar	Kveðskapur og sagnalist	1000079
turf/stone construction	Torf- og grjóthleðsla	Atvinna og verkmenning	1000210
Hospitality	Gestrisni	Heimili og daglegt líf	1000417
Spanish	Spánverjar	Fólk og mannlýsingar	1000385
folk believe	Þjóðtrú	Þjóðtrú og fyrirboðar	114
Spænska veikin	Spænska veikin	Samfélag og stjórnsýsla	1000446
Deserted farm/residence	Eyðibýli	Staðir og örnefni	1000452
Christmas Cat	Jólakötturinn	Hátíðir og tímatal	1000330
Christianity	Kristni	Kirkja og kristni	158
important days	Merkisdagar	Hátíðir og tímatal	1000346
Jarðskjálftar	Jarðskjálftar	Náttúra og dýr	1000753
graves	Grafir	Kirkja og kristni	116
Mischief	Hrekkir	Leikir og skemmtun	1000602
chants	Kveðandi	Kveðskapur og sagnalist	1000292
Hell	Helvíti	Kirkja og kristni	101
slaughter (of animals in autumn)	Sláturtíð	Búskapur og sveitastörf	56
crossings	Ferjur og vöð	Atvinna og verkmenning	29
Stjörnuspeki	Stjörnuspeki	Þjóðtrú og fyrirboðar	1000185
domestic advice	Húsráð	Heimili og daglegt líf	1000276
Myndlist	Myndlist	Atvinna og verkmenning	1000373
mermaids	Hafmeyjar	Tröll og forynjur	79
human paunch, fat	Mannafita	Galdur og kraftaskáld	72
Skólaganga	Skólaganga	Samfélag og stjórnsýsla	1000443
Sveitarstjórnarmál	Sveitarstjórnarmál	Samfélag og stjórnsýsla	1000776
human skin	Mannshúð	Galdur og kraftaskáld	73
Einmánuður	Einmánuður	Hátíðir og tímatal	1000242
Disappearances of people	Mannshvörf	Ævi og fjölskylda	404
Útreiðar	Útreiðar	Leikir og skemmtun	1000260
saddler	Söðlasmiðir	Atvinna og verkmenning	1000273
Jarðir	Jarðir	Búskapur og sveitastörf	1000785
Guns	Byssur	Atvinna og verkmenning	1000822
Áfengisbannið	Áfengisbannið	Samfélag og stjórnsýsla	1000601
Samgöngur	Samgöngur	Atvinna og verkmenning	1000464
eye ointment	Augnsmyrsl	Huldufólk	9
taboos	Bannhelgi	Þjóðtrú og fyrirboðar	153
reindeer hunting	Hreindýraveiðar	Atvinna og verkmenning	1000395
Ogresses	Skessur	Tröll og forynjur	561
Rökkrið	Rökkrið	Heimili og daglegt líf	1000084
house elves	Húsálfar	Huldufólk	1000387
riddles	Gátur	Leikir og skemmtun	80
Poltergeists	Hávaðadraugar	Draugar og afturgöngur	1000415
vestments	Messuklæði	Kirkja og kristni	45
töðugjöld (special Icelandic phenomenon)	Töðugjöld	Búskapur og sveitastörf	1000336
Dogs	Hundar	Náttúra og dýr	1000905
Vegagerð	Vegagerð	Atvinna og verkmenning	1000621
commerce	Verslun	Atvinna og verkmenning	35
Einfótungar	Einfótungar	Tröll og forynjur	1000379
tunes	Sönglög	Kveðskapur og sagnalist	1000040
Sálmalög	Sálmalög	Kirkja og kristni	1000107
disaster	Hörmungar	Samfélag og stjórnsýsla	123
seals	Selir	Náttúra og dýr	138
Candlemass	Kyndilmessa	Hátíðir og tímatal	1000342
joking	Gamanmál	Kveðskapur og sagnalist	172
treasure hillocks	Fjárhólar	Þjóðtrú og fyrirboðar	31
Fornsögur	Fornsögur	Kveðskapur og sagnalist	1000410
Húsmæðraskólar	Húsmæðraskólar	Samfélag og stjórnsýsla	1000920
seal-skins	Selshamir	Tröll og forynjur	44
Whales	Hvalir	Náttúra og dýr	38
seal-women	Selkonur	Tröll og forynjur	118
runes	Rúnir	Galdur og kraftaskáld	133
Kópavogur	Kópavogur	Staðir og örnefni	1000321
Shrove Tuesday	Sprengidagur	Hátíðir og tímatal	1000334
mermen	Marbendlar	Tröll og forynjur	30
Believe in dreams	Draumatrú	Þjóðtrú og fyrirboðar	88
fishing station workers (migrant workers)	Vermenn	Sjósókn og sjávarfang	119
hot spring movement	Hverahræringar	Náttúra og dýr	1000388
nursery rhymes	Barnagælur	Kveðskapur og sagnalist	40
ruins (of houses)	Húsarústir	Staðir og örnefni	170
hot springs	Hverir	Staðir og örnefni	162
Brýr	Brýr	Atvinna og verkmenning	1000826
Barnadauði	Barnadauði	Ævi og fjölskylda	1000428
belief statements	Trúarsetningar	Þjóðtrú og fyrirboðar	144
Fiddles	Fiðlur	Kveðskapur og sagnalist	407
Witches	Galdrakonur	Galdur og kraftaskáld	95
kynjamenn	kynjamenn	Tröll og forynjur	62
saying things back to front	Öfugmæli	Kveðskapur og sagnalist	124
sitting outside (to be in touch with spirits)	Útiseta	Galdur og kraftaskáld	1000349
Skemmtistaðir	Skemmtistaðir	Leikir og skemmtun	1000605
Skáldskapur	Skáldskapur	Kveðskapur og sagnalist	1000873
Male elves	Álfkarlar	Huldufólk	68
spirits of the air	Loftandar	Þjóðtrú og fyrirboðar	76
mills	Myllur	Atvinna og verkmenning	1000347
All Saints' Day	Allraheilagramessa	Hátíðir og tímatal	1000340
Swedes	Svíar	Fólk og mannlýsingar	1000173
believe in destiny	Trú á örlög	Þjóðtrú og fyrirboðar	87
Búferlaflutningar	Búferlaflutningar	Samfélag og stjórnsýsla	1000710
devotion to God	Guðrækni	Kirkja og kristni	99
Dream-naming	Nafngjöf í draumi	Þjóðtrú og fyrirboðar	112
Spells/Incantations	Galdraþulur	Galdur og kraftaskáld	607
moving days	Fardagar	Hátíðir og tímatal	145
Smalabúsreið	Smalabúsreið	Búskapur og sveitastörf	1000402
Families	Fjölskyldur	Ævi og fjölskylda	1000817
lead singers	Forsöngvarar	Kirkja og kristni	1000118
letters	Sendibréf	Kveðskapur og sagnalist	189
ash wednesday	Öskudagur	Hátíðir og tímatal	1000333
Named men	Nafngreindir menn	Fólk og mannlýsingar	92
Land spirits	Landvættir	Þjóðtrú og fyrirboðar	42
Girðingar	Girðingar	Búskapur og sveitastörf	1000783
Sagnaskemmtun	Sagnaskemmtun	Kveðskapur og sagnalist	1000863
